Sr No.,Student Name,Registration No.,Department,University,Degree Level,Country,City,Semester,Section,No. of Pending Courses,Pending Type,Pending Courses Name
1191,Syed Jones,PHD21-DA-223,Data Analytics,Universiti Penyelidikan,PhD,Malaysia,Penang,3rd,C,0,All Clear,None
1192,Fatima Ali,MASTER22-SE-084,Software Engineering,King Fahd University of Petroleum and Minerals,Master,Saudi Arabia,Jeddah,1st,D,0,All Clear,None
1193,Michael Al-Mansoori,PHD21-EST-238,Economics,University of engineering and Technology (UET) Lahore,PhD,Pakistan,Karachi,1st,A,0,All Clear,None
1194,Omar Sharma,MS21-DA-106,Data Analytics,University of Oxford,MS,United Kingdom,Manchester,2nd,C,0,All Clear,None
1195,Sarah Lee,BS21-ME-209,Mechanical Engineering,"University of California, Berkeley",BS,United States,Berkeley,7th,D,0,All Clear,None
1196,Hamza Lopez,MS24-MST-011,Mathematics,University of Oxford,MS,United Kingdom,London,1st,A,0,All Clear,None
1197,Rahul Ahmed,MPHIL25-ME-196,Mechanical Engineering,Indian Institute of Technology (IIT) Bombay,Mphil,India,Mumbai,6th,D,0,All Clear,None
1198,Emma Lopez,BS25-CS-126,Computer Science,Lahore University of Management Sciences (LUMS),BS,Pakistan,Faisalabad,4th,A,0,All Clear,None
1199,Sarah Kim,MS21-ME-235,Mechanical Engineering,Georgia Institute of Technology,MS,United States,Cambridge,7th,B,0,All Clear,None
1200,James Schneider,MPHIL23-ME-086,Mechanical Engineering,Universiti Penyelidikan,Mphil,Malaysia,Penang,7th,B,0,All Clear,None
1201,Liam Schneider,MPHIL25-BA-198,Business Administration,University of Waterloo,Mphil,Canada,Toronto,8th,A,0,All Clear,None
1202,Yusuf Taylor,BS22-GD-227,Graphic Design,University of Oxford,BS,United Kingdom,Oxford,4th,B,0,All Clear,None
1203,Lucas Ahmed,MS23-SST-004,Statistics,McGill University,MS,Canada,Waterloo,5th,B,0,All Clear,None
1204,Rahul Schneider,MASTER22-CE-236,Civil Engineering,Imperial College London,Master,United Kingdom,Cambridge,6th,D,0,All Clear,None
1205,Ali Ahmed,MS25-BA-013,Business Administration,American University of Sharjah,MS,United Arab Emirates,Sharjah,2nd,A,3,Fail,"Corporate Finance, English Composition, Organizational Behavior"
1206,Sneha Singh,MPHIL21-SST-072,Statistics,Universiti Malaya (UM),Mphil,Malaysia,Kuala Lumpur,4th,B,0,All Clear,None
1207,Noah Hernandez,MPHIL21-CS-236,Computer Science,University of engineering and Technology (UET) Lahore,Mphil,Pakistan,Lahore,3rd,C,0,All Clear,None
1208,Noah Schmidt,BS25-SST-070,Statistics,Lahore University of Management Sciences (LUMS),BS,Pakistan,Islamabad,2nd,B,0,All Clear,None
1209,Rahul Das,MS21-PST-010,Psychology,Universiti Penyelidikan,MS,Malaysia,Kuala Lumpur,4th,A,0,All Clear,None
1210,Anya Thomas,PHD24-SST-052,Statistics,King Fahd University of Petroleum and Minerals,PhD,Saudi Arabia,Jeddah,1st,A,2,Dropped,"Critical Thinking, Sampling Techniques"
1211,Daniel Smith,BS23-BA-094,Business Administration,University of Delhi,BS,India,New Delhi,7th,D,0,All Clear,None
1212,Sofia Kim,MS22-ME-083,Mechanical Engineering,University of Queensland,MS,Australia,Brisbane,6th,C,1,Fail,Pakistan Studies
1213,Carlos Hassan,MPHIL23-SE-247,Software Engineering,Heidelberg University,Mphil,Germany,Karlsruhe,3rd,D,0,All Clear,None
1214,Carlos Davis,MPHIL21-SE-088,Software Engineering,Universiti Penyelidikan,Mphil,Malaysia,Kuala Lumpur,8th,D,0,All Clear,None
1215,Rahul Williams,MS24-ME-226,Mechanical Engineering,University of Edinburgh,MS,United Kingdom,London,3rd,B,0,All Clear,None
1216,Sofia Davis,BS22-ME-176,Mechanical Engineering,American University of Sharjah,BS,United Arab Emirates,Al Ain,1st,C,1,Fail,Manufacturing Processes
1217,Ananya Brown,MASTER22-ME-164,Mechanical Engineering,UNSW Sydney,Master,Australia,Brisbane,4th,C,0,All Clear,None
1218,Zain Taylor,BS22-ME-194,Mechanical Engineering,University of Cambridge,BS,United Kingdom,Oxford,8th,B,0,All Clear,None
1219,Amit Jones,BS22-MST-048,Mathematics,Indian Institute of Science (IISc),BS,India,New Delhi,1st,A,1,Dropped,Abstract Algebra
1220,Aisha Das,MASTER23-BA-054,Business Administration,"University of California, Berkeley",Master,United States,Cambridge,1st,C,0,All Clear,None
1221,Muhammad Al-Mansoori,PHD23-BA-090,Business Administration,Universiti Teknologi Malaysia,PhD,Malaysia,Penang,1st,D,0,All Clear,None
1222,Syed Das,MASTER21-CS-247,Computer Science,King Fahd University of Petroleum and Minerals,Master,Saudi Arabia,Riyadh,6th,D,0,All Clear,None
1223,John Shah,BS24-ME-192,Mechanical Engineering,"University of California, Berkeley",BS,United States,Cambridge,2nd,B,0,All Clear,None
1224,Ji-woo Hassan,MPHIL21-SE-003,Software Engineering,Universiti Penyelidikan,Mphil,Malaysia,Kuala Lumpur,8th,B,3,Dropped,"Islamic Studies / Ethics, Software Architecture and Design, Pakistan Studies"
1225,Ravi Schmidt,PHD21-PST-179,Psychology,University College London (UCL),PhD,United Kingdom,London,7th,A,0,All Clear,None
1226,Sneha Jones,BS22-DA-248,Data Analytics,University College London (UCL),BS,United Kingdom,London,5th,C,1,Withdraw,Big Data Analytics
1227,Daniel Sharma,BS25-GD-217,Graphic Design,Lahore University of Management Sciences (LUMS),BS,Pakistan,Islamabad,5th,B,0,All Clear,None
1228,Min-jun Müller,MS21-CS-113,Computer Science,King Saud University,MS,Saudi Arabia,Jeddah,3rd,B,0,All Clear,None
1229,Sophia Khan,MPHIL23-PST-112,Psychology,Technical University of Munich,Mphil,Germany,Berlin,2nd,D,0,All Clear,None
1230,Rahul Tan,MPHIL22-CS-233,Computer Science,Technical University of Munich,Mphil,Germany,Munich,6th,D,1,Withdraw,Data Structures and Algorithms
1231,Sofia Wilson,MS24-BA-018,Business Administration,Georgia Institute of Technology,MS,United States,Stanford,8th,C,1,Withdraw,Financial Accounting
1232,Rahul Haider,MS23-MST-016,Mathematics,United Arab Emirates University,MS,United Arab Emirates,Abu Dhabi,5th,B,0,All Clear,None
1233,Michael Kumar,MPHIL22-BA-221,Business Administration,COMSATS University Islamabad,Mphil,Pakistan,Faisalabad,1st,C,0,All Clear,None
1234,Jessica Das,MASTER25-CE-163,Civil Engineering,Indian Institute of Technology (IIT) Bombay,Master,India,Chennai,4th,A,0,All Clear,None
1235,Lucas Johnson,MS25-ME-043,Mechanical Engineering,Stanford University,MS,United States,Stanford,2nd,D,0,All Clear,None
1236,Muhammad Kumar,MASTER24-DS-008,Data Science,Heidelberg University,Master,Germany,Heidelberg,1st,D,0,All Clear,None
1237,Ji-woo Tan,MS24-EST-166,Economics,University of Queensland,MS,Australia,Brisbane,3rd,D,1,Withdraw,Islamic Studies / Ethics
1238,Zain Lee,PHD21-GD-181,Graphic Design,University of Waterloo,PhD,Canada,Toronto,1st,D,2,Withdraw,"Typography, Motion Graphics"
1239,Priya Al-Farsi,MPHIL25-CE-125,Civil Engineering,University of Waterloo,Mphil,Canada,Montreal,5th,C,0,All Clear,None
1240,Aisha Williams,PHD24-BA-250,Business Administration,Universiti Teknologi Malaysia,PhD,Malaysia,Johor Bahru,3rd,D,0,All Clear,None
1241,Min-jun Tan,MPHIL22-DS-081,Data Science,American University of Sharjah,Mphil,United Arab Emirates,Al Ain,5th,C,3,Fail,"Islamic Studies / Ethics, Data Wrangling, Natural Language Processing"
1242,Min-jun Hussein,MASTER22-ME-197,Mechanical Engineering,University of British Columbia,Master,Canada,Montreal,5th,C,0,All Clear,None
1243,Noah Schmidt,MPHIL25-BA-045,Business Administration,Imperial College London,Mphil,United Kingdom,Cambridge,6th,B,0,All Clear,None
1244,Abdul Gonzalez,MPHIL24-EST-124,Economics,University of British Columbia,Mphil,Canada,Vancouver,3rd,D,1,Not Registered,Econometrics
1245,Zain Martinez,PHD23-GD-238,Graphic Design,Harvard University,PhD,United States,Boston,7th,A,0,All Clear,None
1246,Anya Smith,PHD24-ME-161,Mechanical Engineering,American University of Sharjah,PhD,United Arab Emirates,Sharjah,7th,B,1,Dropped,Machine Design
1247,Muhammad Johnson,BS23-DA-028,Data Analytics,University of Melbourne,BS,Australia,Canberra,6th,A,0,All Clear,None
1248,Yusuf Smith,MASTER21-PST-029,Psychology,University of British Columbia,Master,Canada,Toronto,4th,A,0,All Clear,None
1249,Daniel Fischer,MASTER25-DS-147,Data Science,Universiti Teknologi Malaysia,Master,Malaysia,Penang,4th,B,2,Fail,"Artificial Intelligence, Introduction to Data Science"
1250,Carlos Fischer,MS21-MST-245,Mathematics,American University of Sharjah,MS,United Arab Emirates,Sharjah,7th,B,0,All Clear,None
1251,Olivia Hassan,MASTER22-DS-062,Data Science,Universiti Teknologi Malaysia,Master,Malaysia,Johor Bahru,2nd,A,0,All Clear,None
1252,Priya Hussein,BS25-DS-221,Data Science,University of Cambridge,BS,United Kingdom,Cambridge,1st,B,0,All Clear,None
1253,Liam Malik,BS22-MST-190,Mathematics,RWTH Aachen University,BS,Germany,Heidelberg,2nd,D,1,Not Registered,Professional Ethics
1254,Lucas Fischer,MPHIL24-SE-215,Software Engineering,King Fahd University of Petroleum and Minerals,Mphil,Saudi Arabia,Riyadh,1st,D,0,All Clear,None
1255,Rahul Hernandez,BS22-PST-081,Psychology,All India Institute of Medical Sciences (AIIMS),BS,India,Mumbai,7th,B,0,All Clear,None
1256,Yusuf Gonzalez,MASTER21-MST-116,Mathematics,University of British Columbia,Master,Canada,Montreal,8th,A,1,Dropped,Numerical Analysis
1257,Ahmad Hussein,MASTER23-CE-090,Civil Engineering,University of Queensland,Master,Australia,Melbourne,8th,D,0,All Clear,None
1258,Muhammad Das,MS23-DA-013,Data Analytics,University of Sydney,MS,Australia,Brisbane,4th,B,2,Dropped,"Machine Learning, Data Mining"
1259,Liam Miller,MPHIL23-SST-037,Statistics,Universiti Teknologi Malaysia,Mphil,Malaysia,Johor Bahru,2nd,C,3,Fail,"Biostatistics, Sampling Techniques, Bayesian Statistics"
1260,Yusuf Rodriguez,MS23-CS-141,Computer Science,University of British Columbia,MS,Canada,Edmonton,2nd,A,0,All Clear,None
1261,John Anderson,MS22-SST-137,Statistics,Ludwig Maximilian University of Munich,MS,Germany,Heidelberg,2nd,A,0,All Clear,None
1262,Olivia Haider,MS23-PST-219,Psychology,King Saud University,MS,Saudi Arabia,Dhahran,3rd,B,0,All Clear,None
1263,Michael Davis,PHD21-ME-121,Mechanical Engineering,University of Alberta,PhD,Canada,Toronto,1st,D,0,All Clear,None
1264,Olivia Shah,PHD22-SE-182,Software Engineering,University of Cambridge,PhD,United Kingdom,Manchester,5th,D,0,All Clear,None
1265,Ali Thomas,BS24-SST-136,Statistics,Indian Institute of Technology (IIT) Bombay,BS,India,Kolkata,7th,B,1,Not Registered,Communication Skills
1266,Amara Hassan,PHD22-EST-129,Economics,Khalifa University,PhD,United Arab Emirates,Sharjah,7th,C,2,Withdraw,"Development Economics, Macroeconomics"
1267,Siddharth Taylor,PHD23-CS-007,Computer Science,Universiti Penyelidikan,PhD,Malaysia,Penang,7th,D,0,All Clear,None
1268,Priya Ali,MS22-GD-037,Graphic Design,Indian Institute of Technology (IIT) Delhi,MS,India,Mumbai,8th,B,0,All Clear,None
1269,Abdul Hernandez,MASTER24-CE-034,Civil Engineering,University of Delhi,Master,India,Bangalore,8th,D,0,All Clear,None
1270,Hamza Patel,BS24-BA-233,Business Administration,National University of Sciences and Technology (NUST),BS,Pakistan,Islamabad,5th,C,0,All Clear,None
1271,Sophia Johnson,MPHIL23-DS-085,Data Science,Technical University of Munich,Mphil,Germany,Berlin,8th,A,0,All Clear,None
1272,Syed Tan,MS22-CS-162,Computer Science,United Arab Emirates University,MS,United Arab Emirates,Al Ain,5th,A,0,All Clear,None
1273,Ji-woo Kumar,PHD23-SE-095,Software Engineering,Lahore University of Management Sciences (LUMS),PhD,Pakistan,Rawalpindi,8th,C,0,All Clear,None
1274,Sofia Müller,MASTER25-CE-018,Civil Engineering,American University of Sharjah,Master,United Arab Emirates,Al Ain,7th,A,3,Withdraw,"Concrete Technology, Environmental Engineering, Communication Skills"
1275,James Williams,MPHIL25-BA-099,Business Administration,King Saud University,Mphil,Saudi Arabia,Riyadh,3rd,B,0,All Clear,None
1276,Ananya Müller,BS22-DS-107,Data Science,Indian Institute of Technology (IIT) Delhi,BS,India,New Delhi,3rd,B,1,Withdraw,Islamic Studies / Ethics
1277,Sophia Johnson,MS22-CS-120,Computer Science,University of British Columbia,MS,Canada,Toronto,1st,C,3,Withdraw,"Theory of Automata, Object Oriented Programming, Professional Ethics"
1278,Yusuf Lee,MPHIL25-PST-228,Psychology,King Fahd University of Petroleum and Minerals,Mphil,Saudi Arabia,Riyadh,8th,C,2,Fail,"Research Methodology, Islamic Studies / Ethics"
1279,Syed Hussein,MPHIL24-BA-070,Business Administration,University of Edinburgh,Mphil,United Kingdom,Manchester,4th,B,0,All Clear,None
1280,Ravi Brown,MASTER22-PST-143,Psychology,Khalifa University,Master,United Arab Emirates,Dubai,1st,C,0,All Clear,None
1281,Rahul Hassan,BS25-DA-085,Data Analytics,Indian Institute of Technology (IIT) Bombay,BS,India,Chennai,6th,D,0,All Clear,None
1282,Sneha Ali,BS24-CE-040,Civil Engineering,Indian Institute of Technology (IIT) Bombay,BS,India,Kolkata,6th,A,0,All Clear,None
1283,Mia Ali,MPHIL25-CS-055,Computer Science,University of engineering and Technology (UET) Lahore,Mphil,Pakistan,Karachi,4th,D,0,All Clear,None
1284,Min-jun Kumar,MS25-EST-097,Economics,All India Institute of Medical Sciences (AIIMS),MS,India,Mumbai,6th,B,1,Dropped,Critical Thinking
1285,Hamza Haider,MASTER24-GD-046,Graphic Design,National University of Sciences and Technology (NUST),Master,Pakistan,Faisalabad,2nd,B,0,All Clear,None
1286,David Taylor,PHD23-BA-026,Business Administration,McGill University,PhD,Canada,Montreal,2nd,A,0,All Clear,None
1287,Rahul Al-Mansoori,BS21-EST-069,Economics,Universiti Malaya (UM),BS,Malaysia,Kuala Lumpur,4th,B,0,All Clear,None
1288,Noah Schneider,MPHIL23-EST-041,Economics,Universiti Teknologi Malaysia,Mphil,Malaysia,Kuala Lumpur,3rd,A,0,All Clear,None
1289,Rahul Sharma,MS22-EST-178,Economics,United Arab Emirates University,MS,United Arab Emirates,Dubai,5th,A,0,All Clear,None
1290,Olivia Taylor,MPHIL23-DS-054,Data Science,King Fahd University of Petroleum and Minerals,Mphil,Saudi Arabia,Riyadh,7th,D,0,All Clear,None
1291,John Malik,BS22-CS-039,Computer Science,University of Cambridge,BS,United Kingdom,Oxford,2nd,B,2,Fail,"Communication Skills, Software Engineering"
1292,Sofia Schmidt,MASTER23-CE-240,Civil Engineering,Universiti Malaya (UM),Master,Malaysia,Johor Bahru,7th,A,2,Not Registered,"Internship, Surveying"
1293,Mia Shah,MPHIL24-SST-201,Statistics,University of Melbourne,Mphil,Australia,Melbourne,7th,B,1,Fail,Critical Thinking
1294,Ravi Hassan,MS21-EST-125,Economics,University of Queensland,MS,Australia,Sydney,1st,B,1,Fail,Econometrics
1295,Ananya Khan,MPHIL21-CE-162,Civil Engineering,Indian Institute of Science (IISc),Mphil,India,Kolkata,4th,B,0,All Clear,None
1296,Lucas Martinez,BS22-SE-038,Software Engineering,UNSW Sydney,BS,Australia,Sydney,2nd,D,0,All Clear,None
1297,Muhammad Shah,PHD25-ME-141,Mechanical Engineering,Khalifa University,PhD,United Arab Emirates,Dubai,4th,D,0,All Clear,None
1298,Sophia Hassan,BS24-SE-235,Software Engineering,King Abdulaziz University,BS,Saudi Arabia,Dhahran,7th,A,3,Withdraw,"Communication Skills, Mobile Application Development, Islamic Studies / Ethics"
1299,Ravi Haider,PHD25-MST-059,Mathematics,McGill University,PhD,Canada,Toronto,5th,D,0,All Clear,None
1300,Anya Kim,MASTER25-SST-241,Statistics,King Abdulaziz University,Master,Saudi Arabia,Dhahran,1st,A,0,All Clear,None
1301,Carlos Lee,BS23-EST-200,Economics,American University of Sharjah,BS,United Arab Emirates,Sharjah,8th,B,0,All Clear,None
1302,Ali Hussein,MPHIL21-PST-085,Psychology,University of Delhi,Mphil,India,Kolkata,3rd,B,0,All Clear,None
1303,Ravi Hassan,MPHIL22-DA-232,Data Analytics,King Abdulaziz University,Mphil,Saudi Arabia,Jeddah,3rd,C,0,All Clear,None
1304,Sarah Jones,MPHIL21-DS-245,Data Science,Imperial College London,Mphil,United Kingdom,Oxford,2nd,A,0,All Clear,None
1305,Lucas Jones,MPHIL24-CE-172,Civil Engineering,University of British Columbia,Mphil,Canada,Toronto,2nd,D,0,All Clear,None
1306,Carlos Wilson,MS21-SE-234,Software Engineering,Harvard University,MS,United States,Boston,7th,B,4,Dropped,"Software Quality Assurance, Critical Thinking, Agile Software Development, Professional Ethics"
1307,Siddharth Hussein,MPHIL21-CE-207,Civil Engineering,American University of Sharjah,Mphil,United Arab Emirates,Abu Dhabi,1st,C,0,All Clear,None
1308,Daniel Al-Mansoori,PHD25-MST-198,Mathematics,Ludwig Maximilian University of Munich,PhD,Germany,Heidelberg,8th,A,0,All Clear,None
1309,Ali Müller,BS23-SST-005,Statistics,University of Sydney,BS,Australia,Canberra,8th,B,2,Fail,"Bayesian Statistics, Communication Skills"
1310,Zahra Garcia,MS24-CS-127,Computer Science,University of engineering and Technology (UET) Lahore,MS,Pakistan,Rawalpindi,2nd,A,0,All Clear,None
1311,Olivia Taylor,PHD25-CS-211,Computer Science,American University of Sharjah,PhD,United Arab Emirates,Sharjah,1st,C,0,All Clear,None
1312,Sarah Anderson,MS23-DS-218,Data Science,COMSATS University Islamabad,MS,Pakistan,Lahore,5th,D,0,All Clear,None
1313,Ananya Ahmed,MASTER21-CS-073,Computer Science,Georgia Institute of Technology,Master,United States,Cambridge,5th,C,0,All Clear,None
1314,Emily Brown,PHD23-EST-197,Economics,Stanford University,PhD,United States,Atlanta,2nd,C,0,All Clear,None
1315,Hamza Anderson,PHD23-MST-216,Mathematics,Stanford University,PhD,United States,Atlanta,2nd,B,2,Dropped,"English Composition, Islamic Studies / Ethics"
1316,Ananya Williams,MASTER23-CS-069,Computer Science,Khalifa University,Master,United Arab Emirates,Sharjah,1st,C,1,Withdraw,Islamic Studies / Ethics
1317,Carlos Brown,MASTER23-SST-041,Statistics,COMSATS University Islamabad,Master,Pakistan,Rawalpindi,6th,D,0,All Clear,None
1318,Syed Al-Farsi,MS22-SE-187,Software Engineering,United Arab Emirates University,MS,United Arab Emirates,Al Ain,3rd,A,2,Withdraw,"Professional Ethics, Pakistan Studies"
1319,Mia Lee,PHD22-BA-016,Business Administration,University of Delhi,PhD,India,New Delhi,5th,B,0,All Clear,None
1320,Michael Ali,PHD25-MST-106,Mathematics,Universiti Teknologi Malaysia,PhD,Malaysia,Penang,5th,C,1,Fail,Islamic Studies / Ethics
1321,Emily Ali,PHD25-BA-049,Business Administration,"University of California, Berkeley",PhD,United States,Cambridge,8th,A,1,Withdraw,Communication Skills
1322,Olivia Khan,MS21-MST-176,Mathematics,Universiti Malaya (UM),MS,Malaysia,Johor Bahru,1st,B,0,All Clear,None
1323,Ali Hassan,BS21-EST-088,Economics,All India Institute of Medical Sciences (AIIMS),BS,India,New Delhi,4th,A,0,All Clear,None
1324,Amara Anderson,MPHIL24-SE-170,Software Engineering,University of Cambridge,Mphil,United Kingdom,Oxford,7th,D,0,All Clear,None
1325,Mia Anderson,MS24-SE-013,Software Engineering,University of Cambridge,MS,United Kingdom,Edinburgh,4th,D,0,All Clear,None
1326,Emma Hassan,BS21-SST-226,Statistics,RWTH Aachen University,BS,Germany,Heidelberg,8th,C,0,All Clear,None
1327,Zahra Shah,BS23-GD-078,Graphic Design,McGill University,BS,Canada,Vancouver,8th,A,0,All Clear,None
1328,David Al-Farsi,MASTER22-DS-113,Data Science,King Abdulaziz University,Master,Saudi Arabia,Riyadh,7th,C,2,Dropped,"Pakistan Studies, Data Warehousing"
1329,Abdul Wong,MS23-ME-177,Mechanical Engineering,Ludwig Maximilian University of Munich,MS,Germany,Berlin,2nd,C,0,All Clear,None
1330,Amit Wilson,BS22-SST-194,Statistics,Khalifa University,BS,United Arab Emirates,Dubai,2nd,B,2,Withdraw,"English Composition, Probability and Probability Distribution"
1331,Ali Al-Farsi,PHD22-PST-048,Psychology,University of Oxford,PhD,United Kingdom,London,7th,C,0,All Clear,None
1332,Min-jun Müller,MPHIL25-PST-092,Psychology,University of Waterloo,Mphil,Canada,Montreal,4th,D,0,All Clear,None
1333,Omar Al-Farsi,MPHIL22-MST-137,Mathematics,King Saud University,Mphil,Saudi Arabia,Jeddah,1st,C,0,All Clear,None
1334,Daniel Hassan,BS21-SST-053,Statistics,University of Delhi,BS,India,Kolkata,2nd,B,0,All Clear,None
1335,Daniel Hernandez,PHD22-CS-095,Computer Science,American University of Sharjah,PhD,United Arab Emirates,Al Ain,8th,B,0,All Clear,None
1336,Emma Williams,BS23-GD-237,Graphic Design,University of Toronto,BS,Canada,Edmonton,5th,D,0,All Clear,None
1337,Sophia Anderson,PHD25-EST-043,Economics,Massachusetts Institute of Technology (MIT),PhD,United States,Cambridge,4th,A,3,Dropped,"English Composition, Development Economics, Public Finance"
1338,Ali Hussein,PHD23-ME-240,Mechanical Engineering,University of Melbourne,PhD,Australia,Melbourne,4th,C,0,All Clear,None
1339,Anya Martinez,BS22-DA-211,Data Analytics,King Saud University,BS,Saudi Arabia,Riyadh,2nd,A,0,All Clear,None
1340,Noah Smith,MS24-MST-058,Mathematics,National University of Sciences and Technology (NUST),MS,Pakistan,Islamabad,3rd,C,0,All Clear,None
1341,Zain Davis,MPHIL24-SE-097,Software Engineering,COMSATS University Islamabad,Mphil,Pakistan,Islamabad,7th,B,0,All Clear,None
1342,David Hernandez,MASTER21-DA-040,Data Analytics,University of Melbourne,Master,Australia,Perth,2nd,A,0,All Clear,None
1343,David Schneider,PHD25-DS-170,Data Science,Ludwig Maximilian University of Munich,PhD,Germany,Heidelberg,6th,D,0,All Clear,None
1344,Ravi Schneider,MASTER22-EST-238,Economics,King Fahd University of Petroleum and Minerals,Master,Saudi Arabia,Jeddah,5th,C,1,Dropped,International Trade
1345,Hamza Lopez,PHD25-CS-244,Computer Science,Karlsruhe Institute of Technology,PhD,Germany,Karlsruhe,2nd,B,1,Not Registered,Pakistan Studies
1346,Olivia Smith,PHD25-DA-220,Data Analytics,University of Oxford,PhD,United Kingdom,Manchester,4th,B,0,All Clear,None
1347,Ravi Wilson,BS23-ME-141,Mechanical Engineering,Stanford University,BS,United States,Atlanta,6th,A,0,All Clear,None
1348,Ahmad Wong,MS22-CE-160,Civil Engineering,University of Oxford,MS,United Kingdom,Edinburgh,3rd,B,0,All Clear,None
1349,Anya Sharma,MPHIL21-PST-009,Psychology,Karlsruhe Institute of Technology,Mphil,Germany,Munich,8th,B,2,Dropped,"Professional Ethics, Introduction to Psychology"
1350,James Al-Farsi,PHD21-DA-113,Data Analytics,COMSATS University Islamabad,PhD,Pakistan,Karachi,2nd,A,1,Fail,Pakistan Studies
1351,Emily Tan,MPHIL23-DA-193,Data Analytics,Universiti Malaya (UM),Mphil,Malaysia,Johor Bahru,6th,D,0,All Clear,None
1352,Mia Wong,PHD21-DA-039,Data Analytics,University of Oxford,PhD,United Kingdom,Manchester,8th,C,0,All Clear,None
1353,Muhammad Tan,MPHIL24-SST-120,Statistics,University of Alberta,Mphil,Canada,Edmonton,7th,D,0,All Clear,None
1354,Omar Sharma,MPHIL21-BA-093,Business Administration,Universiti Malaya (UM),Mphil,Malaysia,Kuala Lumpur,4th,D,1,Fail,Organizational Behavior
1355,Lucas Lopez,MASTER23-MST-095,Mathematics,Karlsruhe Institute of Technology,Master,Germany,Munich,3rd,C,1,Fail,Linear Algebra
1356,Hamza Hassan,PHD22-SST-062,Statistics,Universiti Penyelidikan,PhD,Malaysia,Johor Bahru,1st,D,0,All Clear,None
1357,Michael Johnson,MPHIL21-EST-069,Economics,Universiti Teknologi Malaysia,Mphil,Malaysia,Penang,1st,B,3,Dropped,"International Trade, Islamic Studies / Ethics, Macroeconomics"
1358,Mia Gonzalez,MPHIL25-DS-050,Data Science,American University of Sharjah,Mphil,United Arab Emirates,Al Ain,3rd,D,0,All Clear,None
1359,Zain Miller,MPHIL24-GD-159,Graphic Design,Indian Institute of Science (IISc),Mphil,India,New Delhi,4th,B,1,Withdraw,Pakistan Studies
1360,Michael Singh,BS25-DA-111,Data Analytics,University of Waterloo,BS,Canada,Montreal,4th,D,0,All Clear,None
1361,Siddharth Davis,BS23-CE-243,Civil Engineering,McGill University,BS,Canada,Toronto,7th,C,3,Fail,"Fluid Mechanics, Surveying, Concrete Technology"
1362,Syed Williams,MS24-ME-097,Mechanical Engineering,All India Institute of Medical Sciences (AIIMS),MS,India,Bangalore,5th,B,0,All Clear,None
1363,John Singh,PHD22-EST-143,Economics,McGill University,PhD,Canada,Edmonton,1st,B,2,Withdraw,"International Trade, Mathematical Economics"
1364,Amit Smith,BS23-PST-062,Psychology,University College London (UCL),BS,United Kingdom,Manchester,6th,A,0,All Clear,None
1365,Emily Ali,PHD22-MST-207,Mathematics,Indian Institute of Technology (IIT) Bombay,PhD,India,Bangalore,5th,C,0,All Clear,None
1366,Emily Kim,PHD21-PST-156,Psychology,Massachusetts Institute of Technology (MIT),PhD,United States,Boston,8th,D,1,Withdraw,Communication Skills
1367,Muhammad Hassan,MASTER21-DA-186,Data Analytics,University of Delhi,Master,India,Mumbai,6th,B,0,All Clear,None
1368,Noah Tan,MPHIL24-CE-200,Civil Engineering,Georgia Institute of Technology,Mphil,United States,Atlanta,7th,A,0,All Clear,None
1369,Zahra Brown,MS23-DA-200,Data Analytics,United Arab Emirates University,MS,United Arab Emirates,Al Ain,1st,A,0,All Clear,None
1370,Mia Wilson,MASTER23-MST-211,Mathematics,United Arab Emirates University,Master,United Arab Emirates,Al Ain,6th,D,4,Dropped,"Complex Variables, Calculus I, Islamic Studies / Ethics, Pakistan Studies"
1371,Zain Taylor,MPHIL25-EST-019,Economics,University of Delhi,Mphil,India,Bangalore,3rd,A,1,Fail,International Trade
1372,Zahra Garcia,MASTER24-ME-050,Mechanical Engineering,Indian Institute of Technology (IIT) Bombay,Master,India,Chennai,6th,A,0,All Clear,None
1373,Olivia Malik,PHD23-EST-086,Economics,University of Cambridge,PhD,United Kingdom,Manchester,3rd,A,0,All Clear,None
1374,Muhammad Singh,MPHIL21-SST-200,Statistics,Massachusetts Institute of Technology (MIT),Mphil,United States,Cambridge,3rd,D,1,Withdraw,Bayesian Statistics
1375,Sneha Ahmed,BS21-ME-242,Mechanical Engineering,RWTH Aachen University,BS,Germany,Munich,2nd,B,0,All Clear,None
1376,Syed Das,MASTER22-SE-176,Software Engineering,University of the Punjab,Master,Pakistan,Islamabad,7th,A,0,All Clear,None
1377,Omar Smith,MS24-DA-131,Data Analytics,Australian National University,MS,Australia,Melbourne,5th,C,0,All Clear,None
1378,Ji-woo Hernandez,MASTER25-CE-213,Civil Engineering,Karlsruhe Institute of Technology,Master,Germany,Munich,7th,B,0,All Clear,None
1379,James Sharma,PHD23-DS-061,Data Science,COMSATS University Islamabad,PhD,Pakistan,Islamabad,1st,D,0,All Clear,None
1380,Abdul Fischer,BS21-GD-014,Graphic Design,American University of Sharjah,BS,United Arab Emirates,Abu Dhabi,4th,B,0,All Clear,None
1381,Amit Thomas,BS25-EST-047,Economics,University of Queensland,BS,Australia,Melbourne,6th,A,4,Not Registered,"Pakistan Studies, Econometrics, Public Finance, Critical Thinking"
1382,Sofia Schneider,PHD25-EST-191,Economics,Universiti Teknologi Malaysia,PhD,Malaysia,Penang,7th,C,1,Not Registered,Internship
